participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,f2kso55w,SUB01,0,139,139,q,final,2025-11-05 04:30:20.909894,1,,,3087.0,1,,0.0,女性,22,10,相手よりも大きい額を投資して収益率を上げる、もしくは０を投資してほかの人よりも利益を得る。,1,1,rqew8nx7,,,,,0
2,n7a1fu6m,SUB02,0,139,139,q,final,2025-11-05 04:30:20.999769,1,,,2160.0,2,,0.0,女性,21,2,自分がどれくらい得できるか,1,1,rqew8nx7,,,,,0
3,8kmwo4gt,SUB03,0,139,139,q,final,2025-11-05 04:30:21.049109,1,,,3067.0,3,,0.0,男性,21,10,ペアの合計金額が多くなる方を選択する,1,1,rqew8nx7,,,,,0
4,yxxrfi4d,SUB04,0,139,139,q,final,2025-11-05 04:30:21.106792,1,,,2000.0,4,,0.0,男性,24,22,自分がもっとも収益を得ることを考えていた。,1,1,rqew8nx7,,,,,0
5,nu7bx7wf,SUB06,0,139,139,q,final,2025-11-05 04:30:21.443499,1,,,2907.0,5,,0.0,男性,23,2,収益率の割り当てが何位になるか。,1,1,rqew8nx7,,,,,0
6,p5bzs20b,SUB05,0,139,139,q,final,2025-11-05 04:30:21.469761,1,,,2160.0,6,,0.0,男性,22,10,他人が二人とも０である可能性は限りなく低いので利益の最大値を求めて１０にした,1,1,rqew8nx7,,,,,0
7,kgq5z2ix,SUB08,0,139,139,q,final,2025-11-05 04:30:21.620623,1,,,3067.0,7,,0.0,女性,24,27,全員10ポイントを投資したほうがいいと思います。,1,1,rqew8nx7,,,,,0
8,3zjxp9zn,SUB07,0,139,139,q,final,2025-11-05 04:30:21.659274,1,,,2000.0,8,,0.0,女性,20,22,投資額を10にすると、期待値が一番高そうだと考えました,1,1,rqew8nx7,,,,,0
9,d5p17elz,SUB10,0,139,139,q,final,2025-11-05 04:30:21.818088,1,,,1900.0,9,,0.0,女性,22,5,自分の収益率が一番高くなるように投資額を決めた,1,1,rqew8nx7,,,,,0
10,uucmjlg0,SUB09,0,139,139,q,final,2025-11-05 04:30:21.862203,1,,,2840.0,10,,0.0,女性,24,22,相手の投資傾向,1,1,rqew8nx7,,,,,0
11,ka6yx04b,SUB11,0,139,139,q,final,2025-11-05 04:30:21.899177,1,,,3067.0,11,,0.0,女性,19,7,自分の収益,1,1,rqew8nx7,,,,,0
12,ploey1t9,SUB12,0,139,139,q,final,2025-11-05 04:30:22.243965,1,,,1900.0,12,,0.0,女性,21,14,自分の利益を増やすこと,1,1,rqew8nx7,,,,,0
13,2175moze,SUB13,0,139,139,q,final,2025-11-05 04:30:22.280953,1,,,3067.0,13,,0.0,男性,21,10,様々な場合で計算して10ポイント投資が一番プラスになることがわかったため常に１０ポイントかけた,1,1,rqew8nx7,,,,,0
14,sta0f4if,SUB14,0,139,139,q,final,2025-11-05 04:30:22.405803,1,,,2000.0,14,,0.0,女性,26,10,x,1,1,rqew8nx7,,,,,0
15,rdadur8j,SUB15,0,139,139,q,final,2025-11-05 04:30:22.430252,1,,,2280.0,15,,0.0,女性,23,10,一番得られる金額が大きくなるように考えていた,1,1,rqew8nx7,,,,,0
16,kggi288g,SUB16,0,139,139,q,final,2025-11-05 04:30:22.678785,1,,,2400.0,16,,0.0,男性,21,10,収益率0.9を目指すこと  ,1,1,rqew8nx7,,,,,0
17,s3lkzpyp,SUB17,0,139,139,q,final,2025-11-05 04:30:22.747630,1,,,2942.0,17,,0.0,男性,20,4,相手の利益は気にせずに、自分の利益を最大化するようにしました。,1,1,rqew8nx7,,,,,0
18,5697t5ma,SUB18,0,139,139,q,final,2025-11-05 04:30:22.809402,1,,,2160.0,18,,0.0,女性,30,18,利得最大にするために,1,1,rqew8nx7,,,,,0
19,xum8ac1c,SUB19,0,139,139,q,final,2025-11-05 04:30:22.845406,1,,,2400.0,19,,0.0,男性,27,22,自分が最大の利得を得ること。  周りが０、０の場合などは１０は損するが、皆が最大の利得を得ることを目的とした場合、１０が一番良いと考えた。,1,1,rqew8nx7,,,,,0
20,20xq84dj,SUB21,0,139,139,q,final,2025-11-05 04:30:22.910117,1,,,2400.0,20,,0.0,男性,22,10,全体の利益を最大化する選択をした。,1,1,rqew8nx7,,,,,0
21,cy3wp9h8,SUB20,0,139,139,q,final,2025-11-05 04:30:22.987151,1,,,2400.0,21,,0.0,女性,24,14,相手がどのような選択をしても自分が一番利益を得られるかどうか。,1,1,rqew8nx7,,,,,0
22,xpdtmoub,SUB22,0,139,139,q,final,2025-11-05 04:30:23.031447,1,,,2400.0,22,,0.0,男性,24,10,獲得金額の期待値,1,1,rqew8nx7,,,,,0
23,7q7jxsqn,SUB24,0,139,139,q,final,2025-11-05 04:30:23.123362,1,,,3067.0,23,,0.0,男性,24,3,周りの出方。周りの出方がわかるまでは、投資しても損が1番少なそうな10を出しました。,1,1,rqew8nx7,,,,,0
24,27gmvbzm,SUB23,0,139,139,q,final,2025-11-05 04:30:23.253649,1,,,2000.0,24,,0.0,女性,23,22,10投資する人が多いため、自分も10投資すると、1800円の利益を狙える  投資額を減らすと利益がそれ以下になりやすいように感じた,1,1,rqew8nx7,,,,,0
