participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.select_num,player.select_num_AB_list,player.db_ban_optA_self,player.db_ban_optA_other,player.db_ban_optB_self,player.db_ban_optB_other,player.db_sc_jibun,player.db_sc_aite,group.id_in_subsession,group.g_db_ban,group.g_db_cr,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,5,2,1,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,5,2,1,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,13,2,1,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,13,2,1,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,1,,0.0,1,"[""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,6,2,1,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,6,2,1,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,10,1,1,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,10,1,1,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,1,,0.0,1,"[""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,19,2,1,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,2,,0.0,14,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,19,2,1,8yy2qkta,,,,,0
