participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,1,,0.0,女性,21,10,最初は10を投資して様子を見たが、保守的なかけ方をしている人が儲かっているのが目立って、次は投資額を少なくしました。だんだん回数を追うごとに皆掛け金が０，１，２の人が儲かって数字の大きい額をかけた人が損するゲームが増えて、自分も保守的になり終盤は０をかけていた。,1,1,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,2,,0.0,男性,24,22,周囲の投資額が小さい場合、自身が投資をしたとしても利得は減少することになるため、利得が減少することがない0とした。,1,1,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,3,,0.0,女性,23,22,自分の収益が高くなるように、投資額を低めに設定すること,1,1,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,4,,0.0,男性,23,12,最初はほぼ運任せで、途中からは周りの投資額が０になっていったため０で入力し続けた。,1,1,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,5,,0.0,女性,24,29,自分の収益とできればほかの人の収益,1,1,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,6,,0.0,男性,21,4,自分と相手がウィンウィンになるようにしていたが、全体の流れが自己中心的な選択になっていたので途中からやめた。,1,1,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,7,,0.0,男性,21,10,全員が１０を投資すれば18ポイント確実にもらえるため最初は１０を投資していたが、意外と少ない額を投資する人が多かったため、途中から少ない額を投資して損害が少ないほうへ移行した。,1,1,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,8,,0.0,男性,23,3,投資額が０の場合は最低でも10ポイントとなるので、毎回０にしようと考えていた。,1,1,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,9,,0.0,男性,21,3,全員が自分と同じ選択を行った場合に最も利益が最大となるように選択した。,1,1,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,10,,0.0,女性,21,12,同じチームの人が多く賭けそうな時にできるだけ少額を賭けるようにした。,1,1,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,11,,0.0,男性,20,11,１ゲーム目はほかの人が様子見で５ポイント付近の投資をするとみて０を選択し、思いの外仲間が投資に積極的だとわかったので２、３と１０ｐの投資をしたが自分やほかの人が低い投資額を何度か出したせいもあってか低い投資をする人が目立ち始めたので４，５回目あたりからリスクを鑑みて投資をひかえた,1,1,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,12,,0.0,男性,21,10,前回の同じチームのメンバーの数値,1,1,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,13,,0.0,男性,21,10,前半はなるべく投資していたが、後半は損をしないように投資しなかった,1,1,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,14,,0.0,男性,23,22,ほかの人で抜け駆けして多く利益を取ろうとする人が現れた場合にその人が最終的に多く利益を獲得しないように自身もその投資額に合わせるようにした。,1,1,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,15,,0.0,女性,20,10,ある程度大きい金額を入れるべきだと最初は考えていたが、０ポイントの人が想像以上に多かったので結局最後の方は自分も０ポイントの投資を多めにした。,1,1,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,16,,0.0,男性,20,10,人数がかなり多かったため、全員10ポイント投資する流れにはなりにくいと考えていた。初めは少しポイントをつけてみたが、結局0に収束しそうだったので早めに0にしておいた。,1,1,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,17,,0.0,女性,19,8,自分が損をしないように動くようにしていた。,1,1,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,18,,0.0,女性,23,29,利益をもらう。本金を保つ。,1,1,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,19,,0.0,女性,20,3,相手より自分の利益が大きくなるために相手より少ない投資額がいくらか考えていた。,1,1,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,20,,0.0,どちらでもない,21,10,最初のうちは多くの人が高い投資額を選択していたのでそうしたが、後半になるにつれて0ポイントが目立ちはじめため私も仕方なく0ポイントを選択した。,1,1,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,21,,0.0,男性,22,22,最初は全員で10ポイントの投資をするために様子をみていたが、徐々に投資額の平均が下がっていったのでもらえる報酬が１０を下回りそうになり投資額を下げた,1,1,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,22,,0.0,男性,26,16,最初に相手と協力したいので、半分以上の所持金を投資したが、みんなの投資額がほぼ少ないので、ラウンド4以降はだんだん投資額を削減したいと思います。,1,1,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,23,,0.0,男性,24,22,3人全員の投資額が多くなるほど全体の利益が大きくなるが、投資額が少ない人のほうが利得は大きくなってしまう。このため、他の人が投資額を増やしやすくなることを意識して、自分の投資額を増やした,1,1,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,24,,0.0,女性,22,10,後半はみんなが０ばかり選んで面白くないので、０でない小さい数字を選んだが、結果的にそのラウンド毎のほかのひとよりポイントが少なくて悔しかった。,1,1,8yy2qkta,,,,,0
