participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.select_num,player.select_num_AB_list,player.db_ban_optA_self,player.db_ban_optA_other,player.db_ban_optB_self,player.db_ban_optB_other,player.db_sc_jibun,player.db_sc_aite,group.id_in_subsession,group.g_db_ban,group.g_db_cr,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7o0c45wm,SUB01,0,139,139,q,final,2025-11-10 01:30:01.426472,1,,,2200.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,5,2,1,l5e4ykqp,,,,,0
2,l0qctllj,SUB03,0,139,139,q,final,2025-11-10 01:30:01.611459,1,,,2840.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,5,2,1,l5e4ykqp,,,,,0
3,abzwgbcq,SUB02,0,139,139,q,final,2025-11-10 01:30:01.750620,1,,,2200.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,5,2,1,l5e4ykqp,,,,,0
4,3l43w4u5,SUB04,0,139,139,q,final,2025-11-10 01:30:01.822445,1,,,2840.0,2,,0.0,6,"[""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,5,2,1,l5e4ykqp,,,,,0
5,doh0cell,SUB08,0,139,139,q,final,2025-11-10 01:30:02.066096,1,,,1860.0,1,,0.0,32,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]",,,,,,,3,19,2,1,l5e4ykqp,,,,,0
6,3vzb3pl1,SUB05,0,139,139,q,final,2025-11-10 01:30:02.079532,1,,,2400.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,19,2,1,l5e4ykqp,,,,,0
7,56fb8rny,SUB06,0,139,139,q,final,2025-11-10 01:30:02.257230,1,,,4207.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,16,1,1,l5e4ykqp,,,,,0
8,pjnqjmxg,SUB07,0,139,139,q,final,2025-11-10 01:30:02.317724,1,,,1350.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,16,1,1,l5e4ykqp,,,,,0
9,h1gmydvc,SUB10,0,139,139,q,final,2025-11-10 01:30:02.439089,1,,,2300.0,1,,0.0,17,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,22,2,1,l5e4ykqp,,,,,0
10,uu99ilwz,SUB09,0,139,139,q,final,2025-11-10 01:30:02.651413,1,,,1900.0,2,,0.0,7,"[""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,22,2,1,l5e4ykqp,,,,,0
11,aq7f4tqx,SUB13,0,139,139,q,final,2025-11-10 01:30:02.803593,1,,,3067.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,25,2,1,l5e4ykqp,,,,,0
12,kt7g2hwj,SUB14,0,139,139,q,final,2025-11-10 01:30:02.905797,1,,,2753.0,2,,0.0,7,"[""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,25,2,1,l5e4ykqp,,,,,0
13,rm5vy3bt,SUB11,0,139,139,q,final,2025-11-10 01:30:02.913967,1,,,3067.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,25,2,1,l5e4ykqp,,,,,0
14,zx78nx0d,SUB12,0,139,139,q,final,2025-11-10 01:30:02.933973,1,,,2000.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,25,2,1,l5e4ykqp,,,,,0
15,79fzxyfd,SUB15,0,139,139,q,final,2025-11-10 01:30:03.018469,1,,,2200.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,8,11,1,1,l5e4ykqp,,,,,0
