participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7o0c45wm,SUB01,0,139,139,q,final,2025-11-10 01:30:01.426472,1,,,2200.0,1,,0.0,女性,21,12,収益率が高くなるように、自分の投資額が最も多くなるような１０を毎回選択した。,1,1,l5e4ykqp,,,,,0
2,l0qctllj,SUB03,0,139,139,q,final,2025-11-10 01:30:01.611459,1,,,2840.0,2,,0.0,男性,22,10,おそらく10ポイントを投資するのが一番利得を得ることができると考えた。,1,1,l5e4ykqp,,,,,0
3,abzwgbcq,SUB02,0,139,139,q,final,2025-11-10 01:30:01.750620,1,,,2200.0,3,,0.0,女性,22,8,一番自分に利益率が高い金額を設定した,1,1,l5e4ykqp,,,,,0
4,3l43w4u5,SUB04,0,139,139,q,final,2025-11-10 01:30:01.822445,1,,,2840.0,4,,0.0,女性,19,10,損をせずに利益が得られる方法,1,1,l5e4ykqp,,,,,0
5,doh0cell,SUB08,0,139,139,q,final,2025-11-10 01:30:02.066096,1,,,1860.0,5,,0.0,男性,25,22,損をすることがないので、自身の利益が一番大きくなる10ポイント投資を選択しました。,1,1,l5e4ykqp,,,,,0
6,3vzb3pl1,SUB05,0,139,139,q,final,2025-11-10 01:30:02.079532,1,,,2400.0,6,,0.0,男性,24,21,収益率が低くなると嫌なので、毎回出資額において自分が絶対負けないように10を出し続けた。,1,1,l5e4ykqp,,,,,0
7,56fb8rny,SUB06,0,139,139,q,final,2025-11-10 01:30:02.257230,1,,,4207.0,7,,0.0,男性,28,22,10以外は損するしかないので、この実験自体が１０を入力すればいいゲームだった,1,1,l5e4ykqp,,,,,0
8,pjnqjmxg,SUB07,0,139,139,q,final,2025-11-10 01:30:02.317724,1,,,1350.0,8,,0.0,男性,20,12,相手を思いやる気持ち,1,1,l5e4ykqp,,,,,0
9,h1gmydvc,SUB10,0,139,139,q,final,2025-11-10 01:30:02.439089,1,,,2300.0,9,,0.0,男性,21,10,いくら投資すれば高いレート(1.05)で返ってくるかを考えた。,1,1,l5e4ykqp,,,,,0
10,uu99ilwz,SUB09,0,139,139,q,final,2025-11-10 01:30:02.651413,1,,,1900.0,10,,0.0,男性,18,4,自分以外の２人の投資額を10で固定して考えていた。,1,1,l5e4ykqp,,,,,0
11,aq7f4tqx,SUB13,0,139,139,q,final,2025-11-10 01:30:02.803593,1,,,3067.0,11,,0.0,男性,22,10,10ポイント以外の投資を行う理由がわからなかった,1,1,l5e4ykqp,,,,,0
12,kt7g2hwj,SUB14,0,139,139,q,final,2025-11-10 01:30:02.905797,1,,,2753.0,12,,0.0,男性,19,4,１０を出すのがいいとわかっているが、運試しで０を入れた,1,1,l5e4ykqp,,,,,0
