participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.select_num,player.select_num_AB_list,player.db_ban_optA_self,player.db_ban_optA_other,player.db_ban_optB_self,player.db_ban_optB_other,player.db_sc_jibun,player.db_sc_aite,group.id_in_subsession,group.g_db_ban,group.g_db_cr,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0i9y5oeh,SUB01,0,139,139,q,final,2025-11-10 04:29:28.662125,1,,,3067.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,8,1,1,fum4p2yc,,,,,0
2,h8szovpb,SUB02,0,139,139,q,final,2025-11-10 04:29:28.754286,1,,,2000.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,8,1,1,fum4p2yc,,,,,0
3,p4h3z53f,SUB03,0,139,139,q,final,2025-11-10 04:29:28.816224,1,,,2320.0,1,,0.0,14,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,24,2,1,fum4p2yc,,,,,0
4,salpip5i,SUB04,0,139,139,q,final,2025-11-10 04:29:29.006944,1,,,2400.0,2,,0.0,7,"[""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,24,2,1,fum4p2yc,,,,,0
5,zmsk2ono,SUB06,0,139,139,q,final,2025-11-10 04:29:29.254493,1,,,3067.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,17,1,1,fum4p2yc,,,,,0
6,sf6felqz,SUB05,0,139,139,q,final,2025-11-10 04:29:29.265943,1,,,2000.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,17,1,1,fum4p2yc,,,,,0
7,zaxgyzmm,SUB07,0,139,139,q,final,2025-11-10 04:29:29.421262,1,,,3495.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,9,1,1,fum4p2yc,,,,,0
8,csbgjd4t,SUB08,0,139,139,q,final,2025-11-10 04:29:29.435223,1,,,2000.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,9,1,1,fum4p2yc,,,,,0
9,oyzp5bya,SUB10,0,139,139,q,final,2025-11-10 04:29:29.555448,1,,,2200.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,26,1,1,fum4p2yc,,,,,0
10,frmxaerj,SUB09,0,139,139,q,final,2025-11-10 04:29:29.595367,1,,,2840.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,26,1,1,fum4p2yc,,,,,0
11,4hzc9vr8,SUB11,0,139,139,q,final,2025-11-10 04:29:29.864178,1,,,2200.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,4,2,1,fum4p2yc,,,,,0
12,3g7rpip8,SUB13,0,139,139,q,final,2025-11-10 04:29:30.043026,1,,,2840.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,4,2,1,fum4p2yc,,,,,0
13,61jjcq45,SUB14,0,139,139,q,final,2025-11-10 04:29:30.108367,1,,,2397.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,16,1,1,fum4p2yc,,,,,0
14,4g29zv6j,SUB12,0,139,139,q,final,2025-11-10 04:29:30.123460,1,,,2160.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,16,1,1,fum4p2yc,,,,,0
15,wma2697u,SUB15,0,139,139,q,final,2025-11-10 04:29:30.221528,1,,,3067.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,8,1,1,1,fum4p2yc,,,,,0
16,gg3co7vo,SUB16,0,139,139,q,final,2025-11-10 04:29:30.498801,1,,,2000.0,2,,0.0,2,"[""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,8,1,1,1,fum4p2yc,,,,,0
17,qyo7zwo2,SUB17,0,139,139,q,final,2025-11-10 04:29:30.663388,1,,,2300.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,9,24,2,1,fum4p2yc,,,,,0
18,l5rkecu7,SUB18,0,139,139,q,final,2025-11-10 04:29:30.693265,1,,,2400.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,9,24,2,1,fum4p2yc,,,,,0
19,figjqw1y,SUB19,0,139,139,q,final,2025-11-10 04:29:30.776583,1,,,3067.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,10,17,1,1,fum4p2yc,,,,,0
20,cncqrf59,SUB21,0,139,139,q,final,2025-11-10 04:29:30.799530,1,,,2000.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,10,17,1,1,fum4p2yc,,,,,0
21,4fusfxvv,SUB20,0,139,139,q,final,2025-11-10 04:29:30.853095,1,,,3107.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,11,4,2,1,fum4p2yc,,,,,0
22,nj28ct4b,SUB22,0,139,139,q,final,2025-11-10 04:29:30.863073,1,,,2175.0,2,,0.0,2,"[""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,11,4,2,1,fum4p2yc,,,,,0
23,6l8e55sm,SUB24,0,139,139,q,final,2025-11-10 04:29:30.941251,1,,,3067.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,12,1,2,1,fum4p2yc,,,,,0
24,u1acs09w,SUB23,0,139,139,q,final,2025-11-10 04:29:30.961500,1,,,2000.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,12,1,2,1,fum4p2yc,,,,,0
1,0i9y5oeh,SUB01,0,139,139,q,final,2025-11-10 04:29:28.662125,1,,,3067.0,1,,1267.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1207,360,1267,200,1267,200,1,11,2,2,fum4p2yc,,,,,0
2,h8szovpb,SUB02,0,139,139,q,final,2025-11-10 04:29:28.754286,1,,,2000.0,2,,200.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1207,360,1267,200,1267,200,1,11,2,2,fum4p2yc,,,,,0
3,p4h3z53f,SUB03,0,139,139,q,final,2025-11-10 04:29:28.816224,1,,,2320.0,1,,520.0,22,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",520,600,400,1040,520,600,2,5,1,2,fum4p2yc,,,,,0
4,salpip5i,SUB04,0,139,139,q,final,2025-11-10 04:29:29.006944,1,,,2400.0,2,,600.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",520,600,400,1040,520,600,2,5,1,2,fum4p2yc,,,,,0
5,zmsk2ono,SUB06,0,139,139,q,final,2025-11-10 04:29:29.254493,1,,,3067.0,1,,1267.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",747,360,1267,200,1267,200,3,28,2,2,fum4p2yc,,,,,0
6,sf6felqz,SUB05,0,139,139,q,final,2025-11-10 04:29:29.265943,1,,,2000.0,2,,200.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",747,360,1267,200,1267,200,3,28,2,2,fum4p2yc,,,,,0
