participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,pqlytvkt,SUB08,0,130,130,q,final,2025-10-28 04:37:13.194279,1,,,1460.0,1,,0.0,男性,22,27,最初は0にするつもりだったが、途中ではほかの2人で投資額が少ないほうに合わせることを試みた。,1,1,7wa28fol,,,,,0
2,8o7i41ct,SUB03,0,130,130,q,final,2025-10-28 04:37:13.237567,1,,,1720.0,2,,0.0,男性,23,10,損が少ないように。,1,1,7wa28fol,,,,,0
3,1vjsju3l,SUB05,0,130,130,q,final,2025-10-28 04:37:13.261018,1,,,1620.0,3,,0.0,男性,24,22,はじめは全体の投資が前向きになるよう高めに設定したが、０が多かったので自分も投資額を下げた,1,1,7wa28fol,,,,,0
4,nq9qw4h0,SUB01,0,130,130,q,final,2025-10-28 04:37:13.288174,1,,,1720.0,4,,0.0,どちらでもない,23,10,自分の利益が最も高くなるように決めた,1,1,7wa28fol,,,,,0
5,d7l71r4q,SUB09,0,130,130,q,final,2025-10-28 04:37:13.311848,1,,,1800.0,5,,0.0,男性,22,10,とにかく自分が損をするリスクを低減することを考えました。プロジェクトへの投資を自分のみが行い、獲得利益が10を切ることを防ぐため、最もリスクの少ない0のみを選択しました。,1,1,7wa28fol,,,,,0
6,gqj5hla1,SUB02,0,130,130,q,final,2025-10-28 04:37:13.338685,1,,,1780.0,6,,0.0,女性,22,12,同じグループの相手がどれくらい投資するかを考えました。,1,1,7wa28fol,,,,,0
7,pe2umqts,SUB12,0,130,130,q,final,2025-10-28 04:37:13.365542,1,,,2160.0,7,,0.0,女性,22,12,自分の利益が最大になるように周りの動向の傾向を意識していた。,1,1,7wa28fol,,,,,0
8,98qlmu89,SUB04,0,130,130,q,final,2025-10-28 04:37:13.392116,1,,,2320.0,8,,0.0,男性,25,22,ほかの2人と同じぐらいの利得が得られるようにした。,1,1,7wa28fol,,,,,0
9,j6yqxxoi,SUB15,0,130,130,q,final,2025-10-28 04:37:13.415741,1,,,2487.0,9,,0.0,男性,20,10,常に2にしてました。全部０にすると、その結果をみて０にする人が増えると嫌だなと思ったので。あと、小数点繰り上げということで、２にしとけば、自分の利得が1000円を下回ることはないと思ったため、０にするより罪悪感を感じないし、まわりも若干利得が増えるということで２にしてました。,1,1,7wa28fol,,,,,0
10,bvednbk1,SUB17,0,130,130,q,final,2025-10-28 04:37:13.442131,1,,,800.0,10,,0.0,女性,19,6,１回目はとりあえず様子見で10にしようと思った。思っていたより０が多くて、途中で５くらいにしようかなと思ったが、どこかに10を出し続けている同類がさみしい気分になっているかもしれないと、10を出し続けてみたが、世間はそんなに甘いものではなかったみたいです。,1,1,7wa28fol,,,,,0
11,6hwgynvg,SUB19,0,130,130,q,final,2025-10-28 04:37:13.470432,1,,,1460.0,11,,0.0,男性,23,10,自身の利益と他人にいかに得をさせないか,1,1,7wa28fol,,,,,0
12,at29pg4l,SUB16,0,130,130,q,final,2025-10-28 04:37:13.496932,1,,,1480.0,12,,0.0,女性,22,12,自身がいかに損をしないかを考えて投資額を決定した,1,1,7wa28fol,,,,,0
13,810fbjw6,SUB22,0,130,130,q,final,2025-10-28 04:37:13.525007,1,,,2000.0,13,,0.0,男性,223,22,10ポイントを下回らないこと,1,1,7wa28fol,,,,,0
14,8yzby83o,SUB20,0,130,130,q,final,2025-10-28 04:37:13.551884,1,,,2620.0,14,,0.0,男性,20,10,実験2においての利益を最大化するために、三人とも0しか出資しないゲームが何度かあったが、人間味があって興味深いと考えていた。,1,1,7wa28fol,,,,,0
15,vuiqa7x4,SUB23,0,130,130,q,final,2025-10-28 04:37:13.579949,1,,,1460.0,15,,0.0,女性,20,6,前回の相場を見てなるべく大損のないようにした。,1,1,7wa28fol,,,,,0
16,m3zfocuy,SUB13,0,130,130,q,final,2025-10-28 04:37:13.606711,1,,,2040.0,16,,0.0,男性,19,10,投資額を0にした時が一番自分のポイントが増えると思った。,1,1,7wa28fol,,,,,0
17,4cmmq666,SUB07,0,130,130,q,final,2025-10-28 04:37:13.631939,1,,,2267.0,17,,0.0,男性,25,22,自分の利益が最大化されるように意思決定を行った。,1,1,7wa28fol,,,,,0
18,ozghf93m,SUB06,0,130,130,q,final,2025-10-28 04:37:13.661130,1,,,980.0,18,,0.0,女性,20,5,最初はみんなが１０投資したら１８ずつもらえるからみんな１０にするだろうと思って１０にしていたが、案外投資しない人が多く、１０投資することがリスキーになってきたため、私も投資しなくなった。,1,1,7wa28fol,,,,,0
19,37sjrgfh,SUB24,0,130,130,q,final,2025-10-28 04:37:13.690041,1,,,1880.0,19,,0.0,男性,22,22,最初の数ラウンドは様子見で1~3ポイント投資しましたが、他のメンバーの投資額が少ないことが気になって、途中からは投資額を0に設定し自分の利益を優先しました。,1,1,7wa28fol,,,,,0
20,2f692ugv,SUB21,0,130,130,q,final,2025-10-28 04:37:13.717911,1,,,2520.0,20,,0.0,女性,21,10,損をしないこと。投資額を常に0にしておけば、所持金以下になることはない,1,1,7wa28fol,,,,,0
21,9g4xodmv,SUB10,0,130,130,q,final,2025-10-28 04:37:13.745849,1,,,1280.0,21,,0.0,女性,23,22,自分の額が増えるよう考えていました。,1,1,7wa28fol,,,,,0
22,m9yslktc,SUB14,0,130,130,q,final,2025-10-28 04:37:13.772840,1,,,2520.0,22,,0.0,男性,21,10,自分の利益を大きくしようとして、最初はそれなりに投資額を大きくしたが、案外他の人が投資しなくて、このままでは自分が損をするので投資額を減らしていった。,1,1,7wa28fol,,,,,0
23,bnmnbdwn,SUB11,0,130,130,q,final,2025-10-28 04:37:13.800389,1,,,2627.0,23,,0.0,女性,222,28,前回までのほかの参加者の投資額から、少なく投資したほうが結果として得られるポイントが高いと考えた。,1,1,7wa28fol,,,,,0
