participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.select_num,player.select_num_AB_list,player.db_ban_optA_self,player.db_ban_optA_other,player.db_ban_optB_self,player.db_ban_optB_other,player.db_sc_jibun,player.db_sc_aite,group.id_in_subsession,group.g_db_ban,group.g_db_cr,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,54yubnho,SUB01,0,139,139,q,final,2025-10-29 01:33:10.676945,1,,,2267.0,1,,0.0,14,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,11,1,1,y2l70usy,,,,,0
2,dwfj1r4y,SUB02,0,139,139,q,final,2025-10-29 01:33:10.789972,1,,,1720.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,1,11,1,1,y2l70usy,,,,,0
3,ksw9l7t6,SUB03,0,139,139,q,final,2025-10-29 01:33:10.893741,1,,,1818.0,1,,0.0,10,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,4,1,1,y2l70usy,,,,,0
4,hxfeqtzc,SUB05,0,139,139,q,final,2025-10-29 01:33:11.227312,1,,,2040.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,2,4,1,1,y2l70usy,,,,,0
5,x8kr76e4,SUB06,0,139,139,q,final,2025-10-29 01:33:11.275777,1,,,1453.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,24,1,1,y2l70usy,,,,,0
6,6iqfv6g8,SUB04,0,139,139,q,final,2025-10-29 01:33:11.342775,1,,,2040.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,3,24,1,1,y2l70usy,,,,,0
7,rbm9ueqm,SUB08,0,139,139,q,final,2025-10-29 01:33:11.444223,1,,,1453.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,2,1,1,y2l70usy,,,,,0
8,vnfp85cs,SUB07,0,139,139,q,final,2025-10-29 01:33:11.455260,1,,,2535.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,4,2,1,1,y2l70usy,,,,,0
9,p36hszja,SUB09,0,139,139,q,final,2025-10-29 01:33:11.741222,1,,,1980.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,25,2,1,y2l70usy,,,,,0
10,280zk9wg,SUB13,0,139,139,q,final,2025-10-29 01:33:12.146004,1,,,2075.0,2,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,5,25,2,1,y2l70usy,,,,,0
11,vdihyf5m,SUB11,0,139,139,q,final,2025-10-29 01:33:12.187352,1,,,2267.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,8,2,1,y2l70usy,,,,,0
12,1wag9qb2,SUB10,0,139,139,q,final,2025-10-29 01:33:12.360903,1,,,1725.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,6,8,2,1,y2l70usy,,,,,0
13,8q949lfb,SUB14,0,139,139,q,final,2025-10-29 01:33:12.283568,1,,,2377.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,11,1,1,y2l70usy,,,,,0
14,owsrn4kr,SUB15,0,139,139,q,final,2025-10-29 01:33:12.526623,1,,,1253.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,7,11,1,1,y2l70usy,,,,,0
15,nzu47115,SUB12,0,139,139,q,final,2025-10-29 01:33:12.712214,1,,,2092.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,8,5,1,1,y2l70usy,,,,,0
16,nhgguk36,SUB18,0,139,139,q,final,2025-10-29 01:33:12.973739,1,,,1725.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,8,5,1,1,y2l70usy,,,,,0
17,lxwf03p4,SUB17,0,139,139,q,final,2025-10-29 01:33:13.032739,1,,,2887.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,9,18,1,1,y2l70usy,,,,,0
