participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,54yubnho,SUB01,0,139,139,q,final,2025-10-29 01:33:10.676945,1,,,2267.0,1,,0.0,男性,23,10,自分の利得を最大化すること。後半になるにつれてみんな投資しなくなると思っていたので、前半で全く投資せずに自分の利得を増やすことだけを考えました。後半は誰も投資しないと思っていたので我慢しました。,1,1,y2l70usy,,,,,0
2,dwfj1r4y,SUB02,0,139,139,q,final,2025-10-29 01:33:10.789972,1,,,1720.0,2,,0.0,男性,24,22,周りのメンバーの投資額が徐々に減少していったため、損を減らすために自身も投資額を減らした。,1,1,y2l70usy,,,,,0
3,ksw9l7t6,SUB03,0,139,139,q,final,2025-10-29 01:33:10.893741,1,,,1818.0,3,,0.0,女性,24,22,大きい金額を入れたいが、入れると自分が損になる,1,1,y2l70usy,,,,,0
4,hxfeqtzc,SUB05,0,139,139,q,final,2025-10-29 01:33:11.227312,1,,,2040.0,4,,0.0,男性,21,10,自分の獲得ポイントが少なくならないようにすることだけを考えた。,1,1,y2l70usy,,,,,0
5,x8kr76e4,SUB06,0,139,139,q,final,2025-10-29 01:33:11.275777,1,,,1453.0,5,,0.0,男性,19,5,自分の利益の最大化,1,1,y2l70usy,,,,,0
6,6iqfv6g8,SUB04,0,139,139,q,final,2025-10-29 01:33:11.342775,1,,,2040.0,6,,0.0,男性,23,3,損をしないために、最終的に0に落ち着いた,1,1,y2l70usy,,,,,0
7,rbm9ueqm,SUB08,0,139,139,q,final,2025-10-29 01:33:11.444223,1,,,1453.0,7,,0.0,男性,22,10,最初は１０を投資していたが、投資せず自分のことしか考えれ知能の低い馬鹿が増えたため、終盤は投資をしなかった。,1,1,y2l70usy,,,,,0
8,vnfp85cs,SUB07,0,139,139,q,final,2025-10-29 01:33:11.455260,1,,,2535.0,8,,0.0,男性,23,27,自身のポイントが最大になること,1,1,y2l70usy,,,,,0
9,p36hszja,SUB09,0,139,139,q,final,2025-10-29 01:33:11.741222,1,,,1980.0,9,,0.0,男性,26,22,理論上は全体の得になるように選択すべきなのは理解しており、序盤は10ポイント投資するようにしていたが、回を重ねるにつれ投資額の低い人が増えたように感じたので、その割を食わないように自身も低い額に設定するようにした。,1,1,y2l70usy,,,,,0
10,280zk9wg,SUB13,0,139,139,q,final,2025-10-29 01:33:12.146004,1,,,2075.0,10,,0.0,男性,25,22,投資額0よりは投資したほうが良いと思った。元の10ポイントよりも減るのが嫌だった。,1,1,y2l70usy,,,,,0
