participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.q_calc_mpcr_1,player.q_calc_mpcr_p1_1,player.q_calc_mpcr_p2_1,player.q_calc_mpcr_2,player.q_calc_mpcr_p1_2,player.q_calc_mpcr_p2_2,player.q_calc_mpcr_3,player.q_calc_mpcr_p1_3,player.q_calc_mpcr_p2_3,player.q_calc_mpcr_4,player.q_calc_mpcr_p1_4,player.q_calc_mpcr_p2_4,player.q_calc_payoff_5,player.q_calc_payoff_6,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,54yubnho,SUB01,0,139,139,q,final,2025-10-29 01:33:10.676945,1,,,2267.0,1,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,1,1,y2l70usy,,,,,0
2,dwfj1r4y,SUB02,0,139,139,q,final,2025-10-29 01:33:10.789972,1,,,1720.0,2,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,1,1,y2l70usy,,,,,0
3,ksw9l7t6,SUB03,0,139,139,q,final,2025-10-29 01:33:10.893741,1,,,1818.0,3,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,1,1,y2l70usy,,,,,0
4,hxfeqtzc,SUB05,0,139,139,q,final,2025-10-29 01:33:11.227312,1,,,2040.0,1,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,2,1,y2l70usy,,,,,0
5,x8kr76e4,SUB06,0,139,139,q,final,2025-10-29 01:33:11.275777,1,,,1453.0,2,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,2,1,y2l70usy,,,,,0
6,6iqfv6g8,SUB04,0,139,139,q,final,2025-10-29 01:33:11.342775,1,,,2040.0,3,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,2,1,y2l70usy,,,,,0
7,rbm9ueqm,SUB08,0,139,139,q,final,2025-10-29 01:33:11.444223,1,,,1453.0,1,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,3,1,y2l70usy,,,,,0
8,vnfp85cs,SUB07,0,139,139,q,final,2025-10-29 01:33:11.455260,1,,,2535.0,2,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,3,1,y2l70usy,,,,,0
9,p36hszja,SUB09,0,139,139,q,final,2025-10-29 01:33:11.741222,1,,,1980.0,3,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,3,1,y2l70usy,,,,,0
10,280zk9wg,SUB13,0,139,139,q,final,2025-10-29 01:33:12.146004,1,,,2075.0,1,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,4,1,y2l70usy,,,,,0
11,vdihyf5m,SUB11,0,139,139,q,final,2025-10-29 01:33:12.187352,1,,,2267.0,2,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,4,1,y2l70usy,,,,,0
12,1wag9qb2,SUB10,0,139,139,q,final,2025-10-29 01:33:12.360903,1,,,1725.0,3,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,4,1,y2l70usy,,,,,0
13,8q949lfb,SUB14,0,139,139,q,final,2025-10-29 01:33:12.283568,1,,,2377.0,1,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,5,1,y2l70usy,,,,,0
14,owsrn4kr,SUB15,0,139,139,q,final,2025-10-29 01:33:12.526623,1,,,1253.0,2,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,5,1,y2l70usy,,,,,0
15,nzu47115,SUB12,0,139,139,q,final,2025-10-29 01:33:12.712214,1,,,2092.0,3,,0.0,0.45,0.75,0.6,0.6,0.6,0.6,0.675,0.675,0.45,0.525,0.525,0.75,14.9,15.5,5,1,y2l70usy,,,,,0
