participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.gender,player.age,player.affiliation,player.decision_reason,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,hdz1vbjw,,0,0,139,,,,0,,,0.0,1,,0.0,,,,,1,1,zhu717bn,,,,,1
2,bgt68rc2,,0,0,139,,,,0,,,0.0,2,,0.0,,,,,1,1,zhu717bn,,,,,1
3,bt6g5h05,,0,0,139,,,,0,,,0.0,3,,0.0,,,,,1,1,zhu717bn,,,,,1
4,n4btdxv0,,0,0,139,,,,0,,,0.0,4,,0.0,,,,,1,1,zhu717bn,,,,,1
5,rh4h8sfc,,0,0,139,,,,0,,,0.0,5,,0.0,,,,,1,1,zhu717bn,,,,,1
6,gxt12co3,,0,0,139,,,,0,,,0.0,6,,0.0,,,,,1,1,zhu717bn,,,,,1
7,19qceazl,,0,0,139,,,,0,,,0.0,7,,0.0,,,,,1,1,zhu717bn,,,,,1
8,la2jujkr,,0,0,139,,,,0,,,0.0,8,,0.0,,,,,1,1,zhu717bn,,,,,1
9,gvj2m1kw,,0,0,139,,,,0,,,0.0,9,,0.0,,,,,1,1,zhu717bn,,,,,1
10,pp2wls61,,0,0,139,,,,0,,,0.0,10,,0.0,,,,,1,1,zhu717bn,,,,,1
11,m715rlor,,0,0,139,,,,0,,,0.0,11,,0.0,,,,,1,1,zhu717bn,,,,,1
12,rcvv32pz,,0,0,139,,,,0,,,0.0,12,,0.0,,,,,1,1,zhu717bn,,,,,1
13,qxpjc2yd,,0,0,139,,,,0,,,0.0,13,,0.0,,,,,1,1,zhu717bn,,,,,1
14,5yakra2e,,0,0,139,,,,0,,,0.0,14,,0.0,,,,,1,1,zhu717bn,,,,,1
15,dpsqhmx7,,0,0,139,,,,0,,,0.0,15,,0.0,,,,,1,1,zhu717bn,,,,,1
16,kjjnadon,,0,0,139,,,,0,,,0.0,16,,0.0,,,,,1,1,zhu717bn,,,,,1
17,8x8ohb6w,,0,0,139,,,,0,,,0.0,17,,0.0,,,,,1,1,zhu717bn,,,,,1
18,woh535ri,,0,0,139,,,,0,,,0.0,18,,0.0,,,,,1,1,zhu717bn,,,,,1
19,6ar2g03d,,0,0,139,,,,0,,,0.0,19,,0.0,,,,,1,1,zhu717bn,,,,,1
20,l30j66ao,,0,0,139,,,,0,,,0.0,20,,0.0,,,,,1,1,zhu717bn,,,,,1
21,jy8zyux7,,0,0,139,,,,0,,,0.0,21,,0.0,,,,,1,1,zhu717bn,,,,,1
22,p6bn1gor,,0,0,139,,,,0,,,0.0,22,,0.0,,,,,1,1,zhu717bn,,,,,1
23,ro69sc23,,0,0,139,,,,0,,,0.0,23,,0.0,,,,,1,1,zhu717bn,,,,,1
24,m5u7w0rs,,0,0,139,,,,0,,,0.0,24,,0.0,,,,,1,1,zhu717bn,,,,,1
1,nc1yr5gk,SUB01,0,139,139,q,final,2025-10-29 04:31:19.962175,1,,,2617.0,1,,0.0,男性,24,22,他者の傾向と逆を意識しつつ、利益の最大化,1,1,zi1lugjp,,,,,0
2,524vcf1w,SUB02,0,139,139,q,final,2025-10-29 04:31:20.043812,1,,,1408.0,2,,0.0,男性,29,22,半分ぐらいで投資、できれば３人で中2位,1,1,zi1lugjp,,,,,0
3,0xmvdwfg,SUB03,0,139,139,q,final,2025-10-29 04:31:20.115776,1,,,1620.0,3,,0.0,男性,24,22,序盤は10投資して信頼を積み、終盤は０で自己利益を最大化する。  10から0へいつ切り替えるかを８、９回目のどちらにするか迷った。,1,1,zi1lugjp,,,,,0
4,tymwjvve,SUB04,0,139,139,q,final,2025-10-29 04:31:20.280320,1,,,1500.0,4,,0.0,男性,20,16,3人のリターンの合計額が最大になるようにする,1,1,zi1lugjp,,,,,0
5,8fqhtbmw,SUB06,0,139,139,q,final,2025-10-29 04:31:20.526564,1,,,2242.0,5,,0.0,女性,21,12,自分の投資率が最大になり自分の利得が最大化するように10を入れるようにした  （最後だけ間違えて０が入力できなかった）。,1,1,zi1lugjp,,,,,0
6,qqoht1v0,SUB05,0,139,139,q,final,2025-10-29 04:31:20.566994,1,,,1475.0,6,,0.0,男性,22,10,10以外の選択肢はない。それ以外を選ぶ行為は荒らしに等しい。,1,1,zi1lugjp,,,,,0
7,ell5zamz,SUB07,0,139,139,q,final,2025-10-29 04:31:20.633797,1,,,2852.0,7,,0.0,男性,18,4,はじめは1番安定している１０を全員で選びたかったが０や１が増えてきたのでそうなったときに安定する低めの数字を選んだ。,1,1,zi1lugjp,,,,,0
8,h1y0k28y,SUB08,0,139,139,q,final,2025-10-29 04:31:20.819407,1,,,1500.0,8,,0.0,男性,19,10,はじめは相手が何を出すかを予想して、それよりも少し大きくなるぐらいの数字を決めたが、後半はなるべく自分の数字を小さくし、なおかつ収益率が最小にならないように１を選択することが多かった。,1,1,zi1lugjp,,,,,0
9,1z4s9442,SUB10,0,139,139,q,final,2025-10-29 04:31:21.012550,1,,,2497.0,9,,0.0,男性,18,4,なるべく低額で二番目をとりにいくこと。全員10の時が最もわかりやすく高額を受け取れるが、周囲が低額の時の損失が大きいと気づいたので4あたりの値にして0.6をとりにいく方針にした。,1,1,zi1lugjp,,,,,0
10,ch92vp8j,SUB09,0,139,139,q,final,2025-10-29 04:31:21.027720,1,,,1680.0,10,,0.0,男性,21,10,周囲の投資額の傾向。,1,1,zi1lugjp,,,,,0
11,55hd59uy,SUB11,0,139,139,q,final,2025-10-29 04:31:21.046652,1,,,2767.0,11,,0.0,男性,24,22,計算したところ、自分が10投資すると、相手が2人合わせて4以上投資してくれればとりあえずプラスになると考えたので、最初は迷わず10投資した,1,1,zi1lugjp,,,,,0
12,fa645btg,SUB12,0,139,139,q,final,2025-10-29 04:31:21.265275,1,,,1025.0,12,,0.0,どちらでもない,26,14,できれば損しないように行動した。前回の結果を参考にした。,1,1,zi1lugjp,,,,,0
13,fh1wn5l9,SUB13,0,139,139,q,final,2025-10-29 04:31:21.472358,1,,,1600.0,13,,0.0,どちらでもない,56,6,最初は３人ともが10であれば、三宝好であったが、次第に一人だけ自分の利益も下がるのに、他者を陥れるためだけに投資額を少なくする愚か者がいたから、それに合わせ自らのみが損をしないために投資額を下げた。,1,1,zi1lugjp,,,,,0
14,292kkvw7,SUB15,0,139,139,q,final,2025-10-29 04:31:21.575267,1,,,2695.0,14,,0.0,男性,24,10,自身の利益,1,1,zi1lugjp,,,,,0
15,hji2jo85,SUB14,0,139,139,q,final,2025-10-29 04:31:21.615497,1,,,2907.0,15,,0.0,女性,23,7,全体の利益が最大になるように最大額を投資しつづけた。,1,1,zi1lugjp,,,,,0
16,ejwndzb9,SUB16,0,139,139,q,final,2025-10-29 04:31:21.819108,1,,,1535.0,16,,0.0,男性,21,10,バイトとして実際に謝金を受け取る都合上、いかにして自分が得られる謝金が多くなるのかを最優先にした。その結果、リスクを抑えることを前提として投資額を決定した。,1,1,zi1lugjp,,,,,0
17,9bp7wmzi,SUB18,0,139,139,q,final,2025-10-29 04:31:21.934491,1,,,1700.0,17,,0.0,男性,18,4,全員が10ポイントを投資すれば御の字だが、なかなかそうならないことが歯がゆい。囚人のジレンマのように感じた。,1,1,zi1lugjp,,,,,0
18,dvcw7n97,SUB17,0,139,139,q,final,2025-10-29 04:31:21.975890,1,,,2400.0,18,,0.0,男性,18,16,２番目に多い投資額を狙った,1,1,zi1lugjp,,,,,0
19,emlvkt6w,SUB19,0,139,139,q,final,2025-10-29 04:31:22.194967,1,,,2797.0,19,,0.0,女性,19,1,自分の利益が大きくなるようにした  ,1,1,zi1lugjp,,,,,0
20,mtmffgdo,SUB21,0,139,139,q,final,2025-10-29 04:31:22.253295,1,,,2045.0,20,,0.0,男性,22,22,自分の計算による、相手の心理を考えて、必要があれば、自分の一部の利益を放棄します,1,1,zi1lugjp,,,,,0
21,dk3oclft,SUB22,0,139,139,q,final,2025-10-29 04:31:22.315256,1,,,2300.0,21,,0.0,男性,22,9,前半は様子見で１０を入力し、後半になったら参加者の多数が１０を選ぶと思い、０に近い数字を選んで、報酬額が増えるように考えた。ただ、最終回は参加者の一部は０，１，２のどれかを選ぶと思ったので３を選んだ。,1,1,zi1lugjp,,,,,0
22,a9uz1dw8,SUB20,0,139,139,q,final,2025-10-29 04:31:22.357665,1,,,2840.0,22,,0.0,男性,18,12,なるべく人よりも得をすること,1,1,zi1lugjp,,,,,0
23,idxxs543,SUB24,0,139,139,q,final,2025-10-29 04:31:22.391467,1,,,1840.0,23,,0.0,女性,24,14,半端な５や６はあまり利益を得られないかなと考え、１や２（時に３）の少ない数字か１０の大きい数字のどちらかを気分で選びました。,1,1,zi1lugjp,,,,,0
24,1jai327i,SUB23,0,139,139,q,final,2025-10-29 04:31:22.456155,1,,,2040.0,24,,0.0,男性,199,10,みんなの投資額が多そうだなと思ったときは筆頭株主になれるように頑張った。少なそうなときは３番目の株主をツモれるようにした。これは、各回の前の回の動きをみて考えた。,1,1,zi1lugjp,,,,,0
