participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,player.gender,player.age,player.affiliation
SUB01,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.8,11.2,10.6,10.6,11.2,10,11.2,10,11.8,3,3,2,1,1,2,0,2,0,3,NA,NA,NA
SUB02,4,3,3,3,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,14.8,13,11.8,12.8,9.6,10,10,10,11.2,7,13,10,8,8,1,0,0,0,2,NA,NA,NA
SUB03,0,0,1,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12.4,12.6,12.2,10,11.2,9.6,10,10.6,11.2,5,4,6,7,0,2,1,0,1,2,NA,NA,NA
SUB04,3,3,2,2,1,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,15.4,12.8,12.8,9.6,10,10,10,16,7.2,17,14,8,8,1,0,0,0,10,12,NA,NA,NA
SUB05,8,7,5,5,7,0,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,12.6,11,15.2,7.2,10,9.2,10,9.6,15.2,17,16,10,17,7,0,2,0,1,12,NA,NA,NA
SUB06,10,10,10,10,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,7.8,10.2,9.2,10,10.6,11.2,11.2,10,15,10,13,17,7,0,1,2,2,0,NA,NA,NA
SUB07,5,3,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8.8,9.8,11.2,20.8,11.8,10.6,10,10.6,10,15,3,8,2,18,3,1,0,1,0,NA,NA,NA
SUB08,0,0,2,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17.8,14,14.8,12.4,10,10.6,10,10,10,15,13,10,13,4,0,1,0,0,0,NA,NA,NA
SUB09,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,16,17.8,12.4,13,12.4,10,10,10,10,7,10,13,4,5,4,0,0,0,0,NA,NA,NA
SUB10,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,16,17.8,11.2,14.8,11.2,10,10,11.2,10,3,10,13,2,8,2,0,0,2,0,NA,NA,NA
SUB11,3,2,1,3,0,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,10.4,11.4,11.8,14.2,10.4,9.6,10,10,16,11,4,4,8,7,4,1,0,0,10,NA,NA,NA
SUB12,4,3,3,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,13.6,10.6,9.2,10,10,10.6,10,16,10,9,11,6,2,0,0,1,0,10,0,NA,NA,NA
SUB13,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.8,13.6,17.8,10,11.2,10,14.8,11.2,10,3,3,6,13,0,2,0,8,2,0,NA,NA,NA
SUB14,8,5,3,5,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,11.6,14.8,9.2,14.2,16,9.6,10,10,10,11,11,13,7,7,10,1,0,0,0,NA,NA,NA
SUB15,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10.4,9.2,18.2,12.2,9.2,20,9.2,9.2,9.2,5,4,2,17,7,2,20,2,2,2,NA,NA,NA
SUB16,3,3,3,1,0,2,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,13.6,9.4,9.6,12.4,9.2,11.2,10,14.8,8.8,18,11,4,1,4,2,2,0,8,3,NA,NA,NA
SUB17,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,7.8,7.8,7.8,10.8,6,12,6,6,6,18,13,13,13,18,10,20,10,10,10,NA,NA,NA
SUB18,5,8,3,5,8,2,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,9.8,14.8,9.8,12.8,10.4,14,6.8,6.8,9.2,9,13,13,8,18,4,20,8,8,12,NA,NA,NA
SUB19,0,4,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,13.8,10.6,14.2,14.2,11.8,10,16,10,11.8,9,13,6,7,7,3,0,10,0,3,NA,NA,NA
SUB20,5,1,1,4,4,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,16.8,13.8,8.4,8.4,10,10.6,10,11.2,13.2,18,13,8,4,4,0,1,0,2,12,NA,NA,NA
SUB21,3,3,3,0,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,16.6,10.6,14.8,10,8.8,10,10,14.8,17.2,5,16,6,8,5,3,0,0,8,12,NA,NA,NA
SUB22,0,10,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,8.4,11.2,12.4,11,10.6,11.2,10,10,16,11,14,2,4,5,1,2,0,0,10,NA,NA,NA
SUB23,6,6,2,3,6,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,13.6,11.6,11.8,8.8,10.6,10.6,16,9.2,17.2,17,16,6,8,8,1,1,10,2,12,NA,NA,NA
SUB24,3,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,17.4,12.4,10.6,10.6,16,10,14.8,10,10,7,14,4,1,1,10,0,8,0,0,NA,NA,NA
