participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,alpha_positive,beta_med,beta_positive,player.gender,player.age,player.affiliation
015SUB01,0,1,0,1,2,0,1,0,0,0,0.45,0.525,0.45,0.6,0.75,0.525,0.75,0.6,0.45,0.525,16.75,15.3,11.35,10.8,9.5,10.525,9.75,10,10.9,10.525,15,12,3,3,2,1,1,0,2,1,5,5,6,7,2,6,4,1,1,1,0.129,1,0.0555,1,男性,23,10
015SUB02,8,2,2,2,2,10,0,0,0,0,0.75,0.6,0.6,0.6,0.75,0.675,0.525,0.525,0.6,0.525,10.25,15.2,12.2,15.2,9.5,13.5,10.525,10.525,10,10.525,11,12,7,12,2,20,1,1,0,1,2,6,4,8,1,2,4,3,4,4,0.024,1,0.0555,1,男性,24,22
015SUB03,10,1,2,1,1,10,10,0,0,1,0.675,0.525,0.75,0.6,0.525,0.675,0.75,0.525,0.6,0.75,14.175,15.3,10.25,10.8,11.1,13.5,7.5,10.525,10,9.75,21,12,3,3,4,20,10,1,0,1,8,5,6,7,7,2,1,5,2,4,-0.063,0,0.1555,1,女性,24,22
015SUB04,10,1,1,1,0,0,0,0,0,0,0.675,0.45,0.6,0.6,0.525,0.45,0.6,0.6,0.6,0.6,14.175,12.6,13.2,10.8,15.25,12.7,10,10,10,10,21,8,7,3,10,6,0,0,0,0,8,2,3,7,3,3,8,1,6,6,-0.0215,0,0.0555,1,男性,23,3
015SUB05,4,4,6,4,2,2,0,0,0,0,0.6,0.45,0.75,0.75,0.6,0.75,0.6,0.6,0.6,0.6,13.8,16.8,9.25,9.75,15.2,9.5,10,10,10,10,13,24,7,5,12,2,0,0,0,0,7,1,3,4,6,5,3,6,2,7,-0.0215,0,-0.0715,0,男性,21,10
015SUB06,0,0,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.6,0.525,0.525,0.6,0.525,0.6,0.525,19,15.4,17.65,10,11.05,11.05,10,10.525,10,10.525,20,12,17,0,2,2,0,1,0,1,6,4,8,3,1,5,8,3,3,8,-0.0215,0,0.0555,1,男性,19,5
015SUB07,0,0,0,0,0,0,0,0,0,0,0.45,0.6,0.45,0.45,0.45,0.525,0.45,0.525,0.6,0.6,14.95,10,14.5,12.25,15.4,15.25,14.95,10.525,10,10,11,0,10,5,12,10,11,1,0,0,2,3,5,4,6,8,5,4,4,3,-0.0215,0,0.0555,1,男性,23,27
015SUB08,10,10,10,10,10,0,0,0,0,0,0.6,0.75,0.675,0.75,0.75,0.525,0.6,0.45,0.525,0.525,18,9,14.175,9.75,7.5,10.525,10,15.4,15.25,10.525,30,12,21,13,10,1,0,12,10,1,3,6,2,1,3,7,3,8,5,5,-0.0215,0,0.0555,1,男性,22,10
015SUB09,10,10,10,2,2,2,2,2,0,0,0.75,0.75,0.75,0.6,0.75,0.6,0.6,0.6,0.6,0.525,14.25,9,12.75,15.8,11,15.8,11.6,15.2,10,15.25,19,12,17,13,4,13,6,12,0,10,1,5,8,1,7,4,7,8,7,2,-0.0215,0,0.0555,1,男性,26,22
015SUB10,10,0,0,0,0,0,1,1,0,0,0.675,0.45,0.525,0.45,0.525,0.45,0.675,0.75,0.525,0.525,13.5,10.9,15.25,15.4,11.05,11.35,10.35,9.75,15.25,10.525,20,2,10,12,2,3,2,1,10,1,6,7,7,6,2,1,2,3,5,8,-0.0215,0,0.0555,1,男性,24,22
015SUB11,0,0,0,0,0,0,0,0,0,0,0.45,0.6,0.45,0.45,0.45,0.45,0.525,0.6,0.6,0.525,18.55,10,13.15,15.4,15.4,19,15.25,10,10,10.525,19,0,7,12,12,20,10,0,0,1,1,3,3,5,4,2,1,6,6,4,-0.0215,0,0.0555,1,女性,23,10
