participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,player.gender,player.age,player.affiliation
045SUB01,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,16.5,18,18,18,18,18,18,18,30,30,20,30,30,30,30,30,30,30,3,7,1,6,1,1,2,1,1,2,0.024,0.0555,女性,21,12
045SUB02,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,1,4,7,2,3,6,2,4,8,2,0.024,0.0555,女性,22,8
045SUB03,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,4,4,6,2,5,5,3,3,7,1,0.024,0.0555,男性,22,10
045SUB04,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.6,0.6,18,18,18,18,18,18,16.5,18,18,18,30,30,30,30,30,30,20,30,30,30,8,1,5,5,1,8,7,5,3,1,-0.1995,0.0555,女性,19,10
045SUB05,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,4,7,7,5,6,3,4,2,8,2,0.024,-0.0715,男性,24,21
045SUB06,10,10,10,10,10,10,10,10,10,10,1.05,0.6,0.825,0.825,0.6,0.6,0.6,0.6,0.6,0.6,29.4,18,18.975,20.625,18,18,18,18,18,18,28,30,23,25,30,30,30,30,30,30,6,1,2,1,2,4,1,6,1,5,-0.0215,0.0555,男性,28,22
045SUB07,9,9,9,0,10,10,10,10,4,10,0.375,0.15,0.15,0.15,0.6,0.6,0.6,0.6,0.15,0.6,11.5,5.35,5.35,13,18,18,18,18,9.6,18,28,29,29,20,30,30,30,30,24,30,6,3,3,4,8,4,3,3,5,7,-0.0215,0.448,男性,20,12
045SUB08,10,10,10,10,10,10,10,10,10,10,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,23.925,18,18,18,18,18,18,18,18,30,29,30,30,30,30,30,30,30,30,7,3,6,2,4,1,4,8,4,4,10,-0.0715,男性,25,22
045SUB09,9,10,0,1,10,10,10,10,10,10,0.375,0.6,0.15,0.15,0.6,0.6,0.6,0.6,0.6,0.6,11.5,18,13,12.15,18,18,18,18,18,18,28,30,20,21,30,30,30,30,30,30,6,6,1,8,8,8,6,7,4,6,-0.1695,0.5145,男性,18,4
045SUB10,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,1,8,5,7,5,8,8,4,6,5,0.3345,0.0555,男性,21,10
