participant.id_in_session,participant.code,participant.label,participant.payoff,player.id_in_group,player.individual_choice,player.assigned_mpcr,player.round_payoff,player.chosen_round,group.id_in_subsession,group.total_contribution,group.start_timestamp,subsession.round_number
4,nq9qw4h0,baseSUB01,1720,2,0,NA,11.8,NA,3,3,1761628358,1
4,nq9qw4h0,baseSUB01,1720,3,0,NA,11.8,NA,5,3,1761628420,2
4,nq9qw4h0,baseSUB01,1720,2,0,NA,11.2,NA,2,2,1761628486,3
4,nq9qw4h0,baseSUB01,1720,2,0,NA,10.6,NA,4,1,1761628533,4
4,nq9qw4h0,baseSUB01,1720,3,0,NA,10.6,NA,1,1,1761628593,5
4,nq9qw4h0,baseSUB01,1720,1,0,NA,11.2,NA,2,2,1761628678,6
4,nq9qw4h0,baseSUB01,1720,3,0,NA,10,NA,2,0,1761628713,7
4,nq9qw4h0,baseSUB01,1720,3,0,NA,11.2,NA,7,2,1761628747,8
4,nq9qw4h0,baseSUB01,1720,2,0,NA,10,NA,2,0,1761628800,9
4,nq9qw4h0,baseSUB01,1720,1,0,NA,11.8,8,6,3,1761628848,10
6,gqj5hla1,baseSUB02,1780,1,4,NA,10.2,NA,1,7,1761628358,1
6,gqj5hla1,baseSUB02,1780,1,3,NA,14.8,NA,2,13,1761628420,2
6,gqj5hla1,baseSUB02,1780,1,3,NA,13,NA,8,10,1761628486,3
6,gqj5hla1,baseSUB02,1780,3,3,NA,11.8,NA,6,8,1761628534,4
6,gqj5hla1,baseSUB02,1780,3,2,NA,12.8,NA,6,8,1761628593,5
6,gqj5hla1,baseSUB02,1780,2,1,NA,9.6,NA,5,1,1761628678,6
6,gqj5hla1,baseSUB02,1780,1,0,NA,10,NA,4,0,1761628713,7
6,gqj5hla1,baseSUB02,1780,1,0,NA,10,NA,4,0,1761628747,8
6,gqj5hla1,baseSUB02,1780,2,0,NA,10,NA,8,0,1761628800,9
6,gqj5hla1,baseSUB02,1780,1,0,NA,11.2,4,5,2,1761628848,10
2,8o7i41ct,baseSUB03,1720,1,0,NA,13,NA,4,5,1761628358,1
2,8o7i41ct,baseSUB03,1720,1,0,NA,12.4,NA,8,4,1761628420,2
2,8o7i41ct,baseSUB03,1720,2,1,NA,12.6,NA,4,6,1761628485,3
2,8o7i41ct,baseSUB03,1720,1,2,NA,12.2,NA,7,7,1761628534,4
2,8o7i41ct,baseSUB03,1720,1,0,NA,10,NA,7,0,1761628594,5
2,8o7i41ct,baseSUB03,1720,1,0,NA,11.2,NA,7,2,1761628678,6
2,8o7i41ct,baseSUB03,1720,2,1,NA,9.6,NA,6,1,1761628713,7
2,8o7i41ct,baseSUB03,1720,3,0,NA,10,NA,5,0,1761628747,8
